id_player_fifa,position
221750,RES
211575,SUB
211862,RES
181149,SUB
199779,SUB
226370,SUB
178108,LDM
12624,RES
167441,RES
135440,SUB
176030,SUB
200962,SUB
205512,RCB
169405,SUB
224953,SUB
162386,SUB
193862,RES
210007,SUB
193495,LCM
164299,LWB
193130,SUB
228941,RS
224075,RDM
205598,CAM
53519,SUB
201908,SUB
153244,ST
194963,RES
51782,RES
137186,SUB
208596,ST
192073,SUB
107494,SUB
49026,ST
188612,LS
163402,SUB
163489,GK
223329,RM
189022,CF
103496,SUB
178042,LCB
49633,SUB
164375,LCB
199557,SUB
138902,SUB
162312,SUB
163491,RES
198826,RCB
178448,RCM
123611,RCB
169115,LCB
189192,SUB
190162,SUB
190097,SUB
155930,SUB
138874,SUB
7763,LDM
137403,LM
185174,SUB
163407,SUB
182168,RCB
189557,RM
173211,SUB
161693,RW
197689,SUB
211305,SUB
113221,CDM
176687,SUB
183781,SUB
213661,RCB
101868,SUB
156713,RCB
45471,SUB
210776,RES
53066,SUB
20551,GK
42521,SUB
23823,RCB
191251,LCM
181381,RB
152265,SUB
198070,SUB
192665,SUB
157618,SUB
208230,LDM
194017,SUB
199398,LM
111195,RES
216354,LS
183999,SUB
146296,GK
171897,CDM
41,LCM
186937,SUB
143136,SUB
215602,SUB
8247,SUB
198317,LCB
192476,SUB
159579,RDM
162898,RES
156675,LB
163570,LCM
162979,CB
11414,RES
170635,LCM
13690,SUB
162471,RS
192625,SUB
183238,RES
198192,SUB
4695,RES
53384,SUB
216267,LB
189186,RES
7274,RES
172768,RCM
162980,LWB
208374,LS
147777,SUB
114123,SUB
224567,SUB
184689,SUB
157434,SUB
207533,ST
173401,SUB
181959,SUB
13128,RS
194932,LM
215575,SUB
27556,SUB
182836,ST
193983,ST
155898,SUB
109728,RB
155299,SUB
163225,SUB
220908,SUB
186578,SUB
28725,LS
198705,RB
30697,SUB
159302,RES
186564,SUB
199278,RES
184055,SUB
214997,SUB
183898,RW
157269,SUB
146513,LM
134963,SUB
112509,67
186682,SUB
153938,SUB
177633,ST
194200,SUB
189707,SUB
148853,RES
183855,SUB
52829,SUB
144555,SUB
165440,SUB
150263,SUB
53061,SUB
202474,RES
223219,SUB
178563,SUB
176627,LM
203446,LDM
137686,SUB
192535,LCB
197402,RDM
172665,SUB
157734,SUB
221376,CB
